
Host: beboplogin3

Timers On : Fri Oct 13 09:49:31 2023
Timers Off: Fri Oct 13 09:55:35 2023

Wall Time:      363.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form C                          :     96.967u      8.400s      5.286w  10508 calls
Libint2ERI::Libint2ERI              :     73.333u      4.267s      3.870w    863 calls
ccenergy                            :  10014.450u   1235.250s    568.577w    863 calls
| F build                           :    205.733u     19.150s     11.251w  10331 calls
| Wmbej build                       :    460.817u     50.333s     25.469w  10331 calls
| | C->Wmbej                        :     22.050u      2.683s      1.247w  10331 calls
| | F->Wmbej                        :    258.833u     30.933s     14.446w  10331 calls
| | E->Wmbej                        :     65.167u      7.717s      3.669w  10331 calls
| | X->Wmbej                        :     92.117u      6.583s      4.914w  10331 calls
| Z                                 :     26.900u      2.617s      1.513w  10331 calls
| T2 Build                          :   1061.433u    109.283s     58.511w  10331 calls
| | BT2                             :    464.900u     52.083s     25.835w  10331 calls
| | | ABCD:new                      :    461.850u     51.850s     25.679w  10331 calls
| | | | ABCD:S                      :     26.267u      2.717s      1.468w  10331 calls
| | | | ABCD:A                      :     25.133u      2.867s      1.431w  10331 calls
| | | | ABCD:axpy                   :    356.433u     40.833s     19.853w  10331 calls
| | FT2                             :     46.233u      5.217s      2.539w  10331 calls
| | WmbejT2                         :    145.500u     13.483s      7.989w  10331 calls
| | CT2                             :    221.417u     21.300s     12.109w  10331 calls
cctriples                           :    715.267u     92.317s     40.797w    863 calls
| ET_RHF                            :     65.300u      6.600s      3.583w    863 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:27:35 2023
Timers Off: Fri Oct 13 12:29:16 2023

Wall Time:      101.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.883u      0.233s      0.426w     55 calls
Libint2ERI::Libint2ERI              :      7.533u      0.667s      0.802w   1460 calls
DFH: initialize()                   :     14.617u      1.333s      1.080w     55 calls
DFH: AO Construction                :      1.133u      0.017s      0.057w     55 calls
DFH: AO-Met. Contraction            :      0.300u      0.017s      0.021w     55 calls
HF: Form core H                     :      3.333u      0.183s      0.175w     55 calls
HF: Form S/X                        :      0.450u      0.100s      0.025w     55 calls
HF: Guess                           :     70.017u      5.700s      3.785w     55 calls
SAD Guess                           :     67.583u      5.583s      3.658w     55 calls
HF: Form G                          :      3.067u      0.417s      0.191w    577 calls
JK: D                               :      0.267u      0.033s      0.012w    577 calls
JK: USO2AO                          :      0.083u      0.000s      0.005w    577 calls
JK: JK                              :      1.917u      0.317s      0.129w    577 calls
DFH: compute_JK()                   :      1.683u      0.217s      0.118w    577 calls
DFH: Grabbing AOs                   :      0.067u      0.017s      0.004w    577 calls
DFH: compute_J                      :      0.500u      0.083s      0.034w    577 calls
DFH: compute_K                      :      0.450u      0.033s      0.041w    577 calls
JK: AO2USO                          :      0.083u      0.000s      0.004w    577 calls
HF: Form F                          :      0.233u      0.067s      0.010w    577 calls
HF: Form D                          :      0.050u      0.000s      0.008w    577 calls
HF: DIIS                            :     40.633u      2.417s      2.146w    522 calls
HF: Form C                          :      6.567u      0.367s      0.369w    522 calls
Grad: V T Perturb                   :      2.167u      0.117s      0.113w     46 calls
Grad: S                             :      1.050u      0.017s      0.058w     46 calls
Grad: JK                            :     40.767u      3.667s      2.354w     46 calls
JKGrad: Amn                         :      9.900u      0.850s      0.540w     46 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     46 calls
JKGrad: AB                          :      8.900u      0.617s      0.469w     46 calls
JKGrad: UV                          :      0.133u      0.000s      0.008w     46 calls
JKGrad: ABx                         :      4.567u      0.217s      0.264w     46 calls
JKGrad: Amnx                        :     11.900u      1.167s      0.758w     46 calls
Grad: XC                            :      0.000u      0.000s      0.000w     46 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.883u      0.233s      0.426w     55 calls
| Libint2ERI::Libint2ERI            :      1.300u      0.167s      0.286w     55 calls
DFH: initialize()                   :     14.617u      1.333s      1.080w     55 calls
| Libint2ERI::Libint2ERI            :      1.967u      0.267s      0.289w    715 calls
| DFH: AO Construction              :      1.133u      0.017s      0.057w     55 calls
| DFH: AO-Met. Contraction          :      0.300u      0.017s      0.021w     55 calls
HF: Form core H                     :      3.333u      0.183s      0.175w     55 calls
HF: Form S/X                        :      0.450u      0.100s      0.025w     55 calls
HF: Guess                           :     70.017u      5.700s      3.785w     55 calls
| SAD Guess                         :     67.583u      5.583s      3.658w     55 calls
HF: Form G                          :      3.067u      0.417s      0.191w    577 calls
| JK: D                             :      0.267u      0.033s      0.012w    577 calls
| JK: USO2AO                        :      0.083u      0.000s      0.005w    577 calls
| JK: JK                            :      1.917u      0.317s      0.129w    577 calls
| | DFH: compute_JK()               :      1.683u      0.217s      0.118w    577 calls
| | | DFH: Grabbing AOs             :      0.067u      0.017s      0.004w    577 calls
| | | DFH: compute_J                :      0.500u      0.083s      0.034w    577 calls
| | | DFH: compute_K                :      0.450u      0.033s      0.041w    577 calls
| JK: AO2USO                        :      0.083u      0.000s      0.004w    577 calls
HF: Form F                          :      0.233u      0.067s      0.010w    577 calls
HF: Form D                          :      0.050u      0.000s      0.008w    577 calls
HF: DIIS                            :     40.633u      2.417s      2.146w    522 calls
HF: Form C                          :      6.567u      0.367s      0.369w    522 calls
Grad: V T Perturb                   :      2.167u      0.117s      0.113w     46 calls
Grad: S                             :      1.050u      0.017s      0.058w     46 calls
Grad: JK                            :     40.767u      3.667s      2.354w     46 calls
| JKGrad: Amn                       :      9.900u      0.850s      0.540w     46 calls
| | Libint2ERI::Libint2ERI          :      1.000u      0.033s      0.053w     46 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     46 calls
| JKGrad: AB                        :      8.900u      0.617s      0.469w     46 calls
| | Libint2ERI::Libint2ERI          :      2.183u      0.167s      0.116w    552 calls
| JKGrad: UV                        :      0.133u      0.000s      0.008w     46 calls
| JKGrad: ABx                       :      4.567u      0.217s      0.264w     46 calls
| | Libint2ERI::Libint2ERI          :      0.167u      0.000s      0.006w     46 calls
| JKGrad: Amnx                      :     11.900u      1.167s      0.758w     46 calls
| | Libint2ERI::Libint2ERI          :      0.917u      0.033s      0.052w     46 calls
Grad: XC                            :      0.000u      0.000s      0.000w     46 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:29:25 2023
Timers Off: Fri Oct 13 12:32:21 2023

Wall Time:      176.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     30.267u      1.783s      1.601w     53 calls
build grid                          :     14.383u      0.767s      0.759w     53 calls
post-process grid                   :     15.700u      1.000s      0.836w     53 calls
DFH: sparsity prep                  :      5.000u      0.450s      0.422w     53 calls
Libint2ERI::Libint2ERI              :      6.483u      0.500s      0.497w   1417 calls
DFH: initialize()                   :     15.767u      1.350s      0.861w     53 calls
DFH: AO Construction                :      0.717u      0.033s      0.040w     53 calls
DFH: AO-Met. Contraction            :      0.167u      0.000s      0.010w     53 calls
HF: Form core H                     :      3.333u      0.183s      0.180w     53 calls
HF: Form S/X                        :      0.117u      0.000s      0.010w     53 calls
HF: Guess                           :     67.917u      5.950s      3.701w     53 calls
SAD Guess                           :     65.750u      5.817s      3.580w     53 calls
HF: Form G                          :     98.917u      1.367s      5.035w    468 calls
RV: Form V                          :     96.650u      1.133s      4.912w    468 calls
Properties                          :     12.197p                         283395 calls
Functional                          :     41.961p                         283395 calls
V_xc                                :     10.146p                         258527 calls
JK: D                               :      0.100u      0.033s      0.005w    468 calls
JK: USO2AO                          :      0.067u      0.000s      0.004w    468 calls
JK: JK                              :      1.367u      0.133s      0.071w    468 calls
DFH: compute_JK()                   :      1.200u      0.100s      0.063w    468 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.003w    468 calls
DFH: compute_J                      :      0.350u      0.033s      0.015w    468 calls
DFH: compute_K                      :      0.467u      0.033s      0.021w    468 calls
JK: AO2USO                          :      0.067u      0.000s      0.003w    468 calls
HF: Form F                          :      0.150u      0.000s      0.008w    468 calls
HF: Form D                          :      0.133u      0.017s      0.006w    468 calls
HF: DIIS                            :     30.917u      2.050s      1.638w    415 calls
HF: Form C                          :      3.633u      0.367s      0.198w    415 calls
Grad: V T Perturb                   :      2.250u      0.117s      0.122w     45 calls
Grad: S                             :      1.083u      0.017s      0.058w     45 calls
Grad: JK                            :     43.633u      4.317s      2.499w     45 calls
JKGrad: Amn                         :     15.233u      1.750s      0.852w     45 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     45 calls
JKGrad: AB                          :      7.633u      0.400s      0.401w     45 calls
JKGrad: UV                          :      0.150u      0.000s      0.009w     45 calls
JKGrad: ABx                         :      2.600u      0.200s      0.138w     45 calls
JKGrad: Amnx                        :     12.333u      1.117s      0.770w     45 calls
Grad: XC                            :     20.783u      0.433s      1.053w     45 calls
V_xc gradient                       :      2.391p                          24868 calls

--------------------------------------------------------------------------------------
V: Grid                             :     30.267u      1.783s      1.601w     53 calls
| build grid                        :     14.383u      0.767s      0.759w     53 calls
| post-process grid                 :     15.700u      1.000s      0.836w     53 calls
DFH: sparsity prep                  :      5.000u      0.450s      0.422w     53 calls
| Libint2ERI::Libint2ERI            :      2.550u      0.283s      0.293w     53 calls
DFH: initialize()                   :     15.767u      1.350s      0.861w     53 calls
| Libint2ERI::Libint2ERI            :      1.367u      0.117s      0.071w    689 calls
| DFH: AO Construction              :      0.717u      0.033s      0.040w     53 calls
| DFH: AO-Met. Contraction          :      0.167u      0.000s      0.010w     53 calls
HF: Form core H                     :      3.333u      0.183s      0.180w     53 calls
HF: Form S/X                        :      0.117u      0.000s      0.010w     53 calls
HF: Guess                           :     67.917u      5.950s      3.701w     53 calls
| SAD Guess                         :     65.750u      5.817s      3.580w     53 calls
HF: Form G                          :     98.917u      1.367s      5.035w    468 calls
| RV: Form V                        :     96.650u      1.133s      4.912w    468 calls
| | Properties                      :      7.653p                         258527 calls
| | Functional                      :     38.565p                         258527 calls
| | V_xc                            :     10.146p                         258527 calls
| JK: D                             :      0.100u      0.033s      0.005w    468 calls
| JK: USO2AO                        :      0.067u      0.000s      0.004w    468 calls
| JK: JK                            :      1.367u      0.133s      0.071w    468 calls
| | DFH: compute_JK()               :      1.200u      0.100s      0.063w    468 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.003w    468 calls
| | | DFH: compute_J                :      0.350u      0.033s      0.015w    468 calls
| | | DFH: compute_K                :      0.467u      0.033s      0.021w    468 calls
| JK: AO2USO                        :      0.067u      0.000s      0.003w    468 calls
HF: Form F                          :      0.150u      0.000s      0.008w    468 calls
HF: Form D                          :      0.133u      0.017s      0.006w    468 calls
HF: DIIS                            :     30.917u      2.050s      1.638w    415 calls
HF: Form C                          :      3.633u      0.367s      0.198w    415 calls
Grad: V T Perturb                   :      2.250u      0.117s      0.122w     45 calls
Grad: S                             :      1.083u      0.017s      0.058w     45 calls
Grad: JK                            :     43.633u      4.317s      2.499w     45 calls
| JKGrad: Amn                       :     15.233u      1.750s      0.852w     45 calls
| | Libint2ERI::Libint2ERI          :      1.083u      0.067s      0.056w     45 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     45 calls
| JKGrad: AB                        :      7.633u      0.400s      0.401w     45 calls
| | Libint2ERI::Libint2ERI          :      0.383u      0.017s      0.019w    540 calls
| JKGrad: UV                        :      0.150u      0.000s      0.009w     45 calls
| JKGrad: ABx                       :      2.600u      0.200s      0.138w     45 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     45 calls
| JKGrad: Amnx                      :     12.333u      1.117s      0.770w     45 calls
| | Libint2ERI::Libint2ERI          :      1.100u      0.017s      0.056w     45 calls
Grad: XC                            :     20.783u      0.433s      1.053w     45 calls
| Properties                        :      4.544p                          24868 calls
| Functional                        :      3.396p                          24868 calls
| V_xc gradient                     :      2.391p                          24868 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:32:33 2023
Timers Off: Fri Oct 13 12:33:41 2023

Wall Time:       68.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     33.333u      1.733s      1.753w     53 calls
build grid                          :     16.633u      0.750s      0.871w     53 calls
post-process grid                   :     16.500u      0.967s      0.874w     53 calls
DFH: sparsity prep                  :     11.550u      0.750s      0.854w     53 calls
Libint2ERI::Libint2ERI              :     24.450u      1.550s      1.520w   1417 calls
DFH: initialize()                   :     25.383u      1.733s      1.384w     53 calls
DFH: AO Construction                :      2.250u      0.083s      0.119w     53 calls
DFH: AO-Met. Contraction            :      0.867u      0.067s      0.048w     53 calls
HF: Form core H                     :      5.800u      0.367s      0.313w     53 calls
HF: Form S/X                        :      1.000u      0.083s      0.049w     53 calls
HF: Guess                           :     71.850u      4.733s      3.829w     53 calls
SAD Guess                           :     69.483u      4.700s      3.705w     53 calls
HF: Form G                          :    213.083u      2.067s     10.870w    469 calls
RV: Form V                          :    208.000u      1.600s     10.610w    469 calls
Properties                          :     32.037p                         285500 calls
Functional                          :     44.065p                         285500 calls
V_xc                                :     62.497p                         260491 calls
JK: D                               :      0.217u      0.000s      0.012w    469 calls
JK: USO2AO                          :      0.167u      0.000s      0.005w    469 calls
JK: JK                              :      3.467u      0.350s      0.179w    469 calls
DFH: compute_JK()                   :      3.217u      0.333s      0.167w    469 calls
DFH: Grabbing AOs                   :      0.083u      0.017s      0.003w    469 calls
DFH: compute_J                      :      1.117u      0.117s      0.054w    469 calls
DFH: compute_K                      :      1.200u      0.117s      0.064w    469 calls
JK: AO2USO                          :      0.083u      0.000s      0.003w    469 calls
HF: Form F                          :      0.217u      0.000s      0.014w    469 calls
HF: Form D                          :      0.183u      0.017s      0.011w    469 calls
HF: DIIS                            :     37.417u      2.267s      1.981w    416 calls
HF: Form C                          :      8.550u      0.333s      0.446w    416 calls
Grad: V T Perturb                   :      4.033u      0.133s      0.208w     45 calls
Grad: S                             :      1.900u      0.133s      0.100w     45 calls
Grad: JK                            :     72.000u      4.350s      3.894w     45 calls
JKGrad: Amn                         :     25.383u      1.450s      1.343w     45 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     45 calls
JKGrad: AB                          :      8.100u      0.600s      0.428w     45 calls
JKGrad: UV                          :      0.150u      0.050s      0.010w     45 calls
JKGrad: ABx                         :      3.083u      0.117s      0.179w     45 calls
JKGrad: Amnx                        :     31.700u      1.750s      1.722w     45 calls
Grad: XC                            :     42.567u      0.600s      2.153w     45 calls
V_xc gradient                       :      6.353p                          25009 calls

--------------------------------------------------------------------------------------
V: Grid                             :     33.333u      1.733s      1.753w     53 calls
| build grid                        :     16.633u      0.750s      0.871w     53 calls
| post-process grid                 :     16.500u      0.967s      0.874w     53 calls
DFH: sparsity prep                  :     11.550u      0.750s      0.854w     53 calls
| Libint2ERI::Libint2ERI            :      7.317u      0.567s      0.617w     53 calls
DFH: initialize()                   :     25.383u      1.733s      1.384w     53 calls
| Libint2ERI::Libint2ERI            :      5.717u      0.283s      0.307w    689 calls
| DFH: AO Construction              :      2.250u      0.083s      0.119w     53 calls
| DFH: AO-Met. Contraction          :      0.867u      0.067s      0.048w     53 calls
HF: Form core H                     :      5.800u      0.367s      0.313w     53 calls
HF: Form S/X                        :      1.000u      0.083s      0.049w     53 calls
HF: Guess                           :     71.850u      4.733s      3.829w     53 calls
| SAD Guess                         :     69.483u      4.700s      3.705w     53 calls
HF: Form G                          :    213.083u      2.067s     10.870w    469 calls
| RV: Form V                        :    208.000u      1.600s     10.610w    469 calls
| | Properties                      :     20.739p                         260491 calls
| | Functional                      :     40.681p                         260491 calls
| | V_xc                            :     62.497p                         260491 calls
| JK: D                             :      0.217u      0.000s      0.012w    469 calls
| JK: USO2AO                        :      0.167u      0.000s      0.005w    469 calls
| JK: JK                            :      3.467u      0.350s      0.179w    469 calls
| | DFH: compute_JK()               :      3.217u      0.333s      0.167w    469 calls
| | | DFH: Grabbing AOs             :      0.083u      0.017s      0.003w    469 calls
| | | DFH: compute_J                :      1.117u      0.117s      0.054w    469 calls
| | | DFH: compute_K                :      1.200u      0.117s      0.064w    469 calls
| JK: AO2USO                        :      0.083u      0.000s      0.003w    469 calls
HF: Form F                          :      0.217u      0.000s      0.014w    469 calls
HF: Form D                          :      0.183u      0.017s      0.011w    469 calls
HF: DIIS                            :     37.417u      2.267s      1.981w    416 calls
HF: Form C                          :      8.550u      0.333s      0.446w    416 calls
Grad: V T Perturb                   :      4.033u      0.133s      0.208w     45 calls
Grad: S                             :      1.900u      0.133s      0.100w     45 calls
Grad: JK                            :     72.000u      4.350s      3.894w     45 calls
| JKGrad: Amn                       :     25.383u      1.450s      1.343w     45 calls
| | Libint2ERI::Libint2ERI          :      5.233u      0.300s      0.277w     45 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     45 calls
| JKGrad: AB                        :      8.100u      0.600s      0.428w     45 calls
| | Libint2ERI::Libint2ERI          :      0.467u      0.050s      0.021w    540 calls
| JKGrad: UV                        :      0.150u      0.050s      0.010w     45 calls
| JKGrad: ABx                       :      3.083u      0.117s      0.179w     45 calls
| | Libint2ERI::Libint2ERI          :      0.067u      0.000s      0.002w     45 calls
| JKGrad: Amnx                      :     31.700u      1.750s      1.722w     45 calls
| | Libint2ERI::Libint2ERI          :      5.650u      0.350s      0.296w     45 calls
Grad: XC                            :     42.567u      0.600s      2.153w     45 calls
| Properties                        :     11.298p                          25009 calls
| Functional                        :      3.383p                          25009 calls
| V_xc gradient                     :      6.353p                          25009 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:33:53 2023
Timers Off: Fri Oct 13 12:33:55 2023

Wall Time:        2.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:33:49 2023
Timers Off: Fri Oct 13 12:35:32 2023

Wall Time:      102.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     30.067u      1.717s      1.587w     53 calls
build grid                          :     13.483u      0.667s      0.709w     53 calls
post-process grid                   :     16.400u      1.033s      0.869w     53 calls
DFH: sparsity prep                  :     12.333u      0.783s      0.887w     53 calls
Libint2ERI::Libint2ERI              :     25.117u      1.500s      1.560w   1417 calls
DFH: initialize()                   :     49.067u      3.450s      2.642w     53 calls
Libint2ErfERI::Libint2ErfERI        :     84.917u      4.917s      4.489w    638 calls
DFH: AO Construction                :      2.317u      0.033s      0.122w     53 calls
DFH: AO-Met. Contraction            :      1.583u      0.017s      0.080w    106 calls
DFH: wAO Construction               :      5.950u      0.183s      0.307w     53 calls
DFH: wAO Copy                       :      0.933u      0.050s      0.046w     53 calls
HF: Form core H                     :      5.967u      0.317s      0.313w     53 calls
HF: Form S/X                        :      0.983u      0.017s      0.054w     53 calls
HF: Guess                           :     72.150u      4.350s      3.824w     53 calls
SAD Guess                           :     69.750u      4.150s      3.700w     53 calls
HF: Form G                          :    234.517u      2.150s     11.847w    515 calls
RV: Form V                          :    224.150u      1.600s     11.302w    515 calls
Properties                          :     34.293p                         311419 calls
Functional                          :     42.401p                         311419 calls
V_xc                                :     69.624p                         286389 calls
JK: D                               :      0.183u      0.050s      0.014w    515 calls
JK: USO2AO                          :      0.100u      0.000s      0.005w    515 calls
JK: JK                              :      8.533u      0.400s      0.456w    515 calls
DFH: compute_JK()                   :      3.433u      0.250s      0.193w    515 calls
DFH: Grabbing AOs                   :      0.100u      0.000s      0.004w    515 calls
DFH: compute_J                      :      0.933u      0.117s      0.065w    515 calls
DFH: compute_K                      :      1.433u      0.067s      0.072w    515 calls
DFH: compute_wK()                   :      4.600u      0.133s      0.238w    515 calls
JK: AO2USO                          :      0.050u      0.017s      0.004w    515 calls
HF: Form F                          :      0.267u      0.017s      0.017w    515 calls
HF: Form D                          :      0.117u      0.017s      0.012w    515 calls
HF: DIIS                            :     40.450u      2.750s      2.153w    462 calls
HF: Form C                          :      9.800u      0.550s      0.508w    462 calls
Grad: V T Perturb                   :      4.017u      0.217s      0.215w     45 calls
Grad: S                             :      1.983u      0.117s      0.103w     45 calls
Grad: JK                            :    223.067u     16.817s     12.148w     45 calls
JKGrad: Amn                         :     26.983u      1.633s      1.428w     45 calls
JKGrad: Awmn                        :     81.433u      4.450s      4.295w     45 calls
JKGrad: AB                          :      8.933u      0.533s      0.473w     45 calls
JKGrad: UV                          :      0.283u      0.033s      0.021w     45 calls
JKGrad: ABx                         :      3.783u      0.183s      0.233w     45 calls
JKGrad: Amnx                        :     93.000u      8.800s      5.202w     45 calls
Grad: XC                            :     42.550u      0.683s      2.161w     45 calls
V_xc gradient                       :      6.340p                          25030 calls

--------------------------------------------------------------------------------------
V: Grid                             :     30.067u      1.717s      1.587w     53 calls
| build grid                        :     13.483u      0.667s      0.709w     53 calls
| post-process grid                 :     16.400u      1.033s      0.869w     53 calls
DFH: sparsity prep                  :     12.333u      0.783s      0.887w     53 calls
| Libint2ERI::Libint2ERI            :      7.817u      0.483s      0.645w     53 calls
DFH: initialize()                   :     49.067u      3.450s      2.642w     53 calls
| Libint2ERI::Libint2ERI            :      5.833u      0.333s      0.310w    689 calls
| Libint2ErfERI::Libint2ErfERI      :      6.433u      0.467s      0.339w     53 calls
| DFH: AO Construction              :      2.317u      0.033s      0.122w     53 calls
| DFH: AO-Met. Contraction          :      1.583u      0.017s      0.080w    106 calls
| DFH: wAO Construction             :      5.950u      0.183s      0.307w     53 calls
| DFH: wAO Copy                     :      0.933u      0.050s      0.046w     53 calls
HF: Form core H                     :      5.967u      0.317s      0.313w     53 calls
HF: Form S/X                        :      0.983u      0.017s      0.054w     53 calls
HF: Guess                           :     72.150u      4.350s      3.824w     53 calls
| SAD Guess                         :     69.750u      4.150s      3.700w     53 calls
HF: Form G                          :    234.517u      2.150s     11.847w    515 calls
| RV: Form V                        :    224.150u      1.600s     11.302w    515 calls
| | Properties                      :     22.953p                         286389 calls
| | Functional                      :     39.333p                         286389 calls
| | V_xc                            :     69.624p                         286389 calls
| JK: D                             :      0.183u      0.050s      0.014w    515 calls
| JK: USO2AO                        :      0.100u      0.000s      0.005w    515 calls
| JK: JK                            :      8.533u      0.400s      0.456w    515 calls
| | DFH: compute_JK()               :      3.433u      0.250s      0.193w    515 calls
| | | DFH: Grabbing AOs             :      0.100u      0.000s      0.004w    515 calls
| | | DFH: compute_J                :      0.933u      0.117s      0.065w    515 calls
| | | DFH: compute_K                :      1.433u      0.067s      0.072w    515 calls
| | DFH: compute_wK()               :      4.600u      0.133s      0.238w    515 calls
| JK: AO2USO                        :      0.050u      0.017s      0.004w    515 calls
HF: Form F                          :      0.267u      0.017s      0.017w    515 calls
HF: Form D                          :      0.117u      0.017s      0.012w    515 calls
HF: DIIS                            :     40.450u      2.750s      2.153w    462 calls
HF: Form C                          :      9.800u      0.550s      0.508w    462 calls
Grad: V T Perturb                   :      4.017u      0.217s      0.215w     45 calls
Grad: S                             :      1.983u      0.117s      0.103w     45 calls
Grad: JK                            :    223.067u     16.817s     12.148w     45 calls
| JKGrad: Amn                       :     26.983u      1.633s      1.428w     45 calls
| | Libint2ERI::Libint2ERI          :      5.417u      0.350s      0.283w     45 calls
| JKGrad: Awmn                      :     81.433u      4.450s      4.295w     45 calls
| | Libint2ErfERI::Libint2ErfERI    :     72.217u      4.133s      3.817w    540 calls
| JKGrad: AB                        :      8.933u      0.533s      0.473w     45 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.017s      0.021w    540 calls
| JKGrad: UV                        :      0.283u      0.033s      0.021w     45 calls
| JKGrad: ABx                       :      3.783u      0.183s      0.233w     45 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.002w     45 calls
| JKGrad: Amnx                      :     93.000u      8.800s      5.202w     45 calls
| | Libint2ERI::Libint2ERI          :      5.717u      0.317s      0.299w     45 calls
| | Libint2ErfERI::Libint2ErfERI    :      6.267u      0.317s      0.333w     45 calls
Grad: XC                            :     42.550u      0.683s      2.161w     45 calls
| Properties                        :     11.340p                          25030 calls
| Functional                        :      3.067p                          25030 calls
| V_xc gradient                     :      6.340p                          25030 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:35:52 2023
Timers Off: Fri Oct 13 12:35:54 2023

Wall Time:        1.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:35:45 2023
Timers Off: Fri Oct 13 12:47:16 2023

Wall Time:      691.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :    651.833u     66.883s     36.343w    331 calls
Libint2ERI::Libint2ERI              :    574.350u     61.683s     32.203w   4634 calls
HF: Form core H                     :     36.500u      2.700s      1.985w    331 calls
HF: Form S/X                        :      1.667u      0.183s      0.093w    331 calls
HF: Guess                           :    466.217u     39.167s     25.278w    331 calls
SAD Guess                           :    451.817u     38.333s     24.510w    331 calls
HF: Form G                          :     19.633u      2.117s      1.074w   4285 calls
JK: D                               :      1.333u      0.100s      0.077w   4285 calls
JK: USO2AO                          :      0.850u      0.050s      0.037w   4285 calls
JK: JK                              :     12.500u      1.317s      0.700w   4285 calls
PK computes JK                      :     11.300u      1.200s      0.633w   4285 calls
JK: AO2USO                          :      0.717u      0.050s      0.030w   4285 calls
HF: Form F                          :      1.483u      0.283s      0.080w   4285 calls
HF: Form D                          :      0.917u      0.083s      0.052w   4285 calls
HF: DIIS                            :    303.750u     18.250s     16.082w   3954 calls
HF: Form C                          :     36.533u      3.167s      1.993w   3954 calls
ccenergy                            :   3838.350u    471.133s    217.773w    331 calls
F build                             :     80.367u      7.733s      4.397w   3947 calls
Wmbej build                         :    176.617u     18.450s      9.808w   3947 calls
C->Wmbej                            :      9.033u      0.683s      0.485w   3947 calls
F->Wmbej                            :     99.433u     10.883s      5.587w   3947 calls
E->Wmbej                            :     25.600u      3.533s      1.418w   3947 calls
X->Wmbej                            :     33.583u      2.383s      1.859w   3947 calls
Z                                   :     10.950u      0.900s      0.584w   3947 calls
T2 Build                            :    409.017u     41.350s     22.519w   3947 calls
BT2                                 :    178.800u     19.900s      9.891w   3947 calls
ABCD:new                            :    177.833u     19.783s      9.831w   3947 calls
ABCD:S                              :     10.233u      0.817s      0.561w   3947 calls
ABCD:A                              :      9.767u      1.117s      0.545w   3947 calls
ABCD:axpy                           :    136.867u     16.133s      7.607w   3947 calls
FT2                                 :     17.217u      1.750s      0.975w   3947 calls
WmbejT2                             :     57.033u      4.633s      3.073w   3947 calls
CT2                                 :     85.350u      8.283s      4.708w   3947 calls
cctriples                           :    277.133u     36.067s     15.817w    331 calls
ET_RHF                              :     25.033u      2.483s      1.381w    331 calls

--------------------------------------------------------------------------------------
Total PK formation time             :    651.833u     66.883s     36.343w    331 calls
| Libint2ERI::Libint2ERI            :    545.583u     60.050s     30.684w   4303 calls
HF: Form core H                     :     36.500u      2.700s      1.985w    331 calls
HF: Form S/X                        :      1.667u      0.183s      0.093w    331 calls
HF: Guess                           :    466.217u     39.167s     25.278w    331 calls
| SAD Guess                         :    451.817u     38.333s     24.510w    331 calls
HF: Form G                          :     19.633u      2.117s      1.074w   4285 calls
| JK: D                             :      1.333u      0.100s      0.077w   4285 calls
| JK: USO2AO                        :      0.850u      0.050s      0.037w   4285 calls
| JK: JK                            :     12.500u      1.317s      0.700w   4285 calls
| | PK computes JK                  :     11.300u      1.200s      0.633w   4285 calls
| JK: AO2USO                        :      0.717u      0.050s      0.030w   4285 calls
HF: Form F                          :      1.483u      0.283s      0.080w   4285 calls
